Tweet ID	Country	Date	Tweet
4,34216E+17	TR	14/02/14	Bugün bulusmami lazimdiii
2,85903E+17	TR	01/01/13	Volkan konak adami tribe sokar yemin ederim :D
2,85948E+17	NL	01/01/13	Bed
2,85966E+17	US	01/01/13	I felt my first flash of violence at some fool who bumped into me.... I pity the fool.
2,86058E+17	US	01/01/13	Ladies drink and get in free till 10:30
2,86101E+17	NL	01/01/13	@Melanynijholtxo ahhahahahah dm!
2,86177E+17	US	01/01/13	Fuck
2,86216E+17	GB	01/01/13	Watching #Miranda On bbc1!!! @mermhart u r HILARIOUS ❤💋
2,86238E+17	RS	01/01/13	@StizZsti fino
2,86282E+17	US	02/01/13	Shopping! (@ Kohlmulti_langues_dataset_10500.tsvs) http://t.co/I8ZkQHT9
2,86307E+17	MX	02/01/13	@Mizzh_ celos es tu segundo nombre
2,86327E+17	CA	02/01/13	@emilyroxxxx @melanienasson hahahahahah awww
2,8635E+17	MY	02/01/13	@BeGinkiTh otak ang semangat nak blajaq !
2,86469E+17	BR	02/01/13	Quiero jugar tenis ♥
2,86491E+17	US	02/01/13	Yessss ^_^
2,86493E+17	BR	02/01/13	#fome (@ Picanha do Neto) http://t.co/8Bj6zaWx
2,86525E+17	US	02/01/13	@Dennycrowe all over twitter because you and your friends cant stick up for yourselves.
2,86675E+17	BR	03/01/13	@JuanChrystma chama e puxa, veem e vai...
2,86827E+17	ID	03/01/13	Tirta gangga w/@dayu_renita @tamancrizz @mika_mahayekti http://t.co/xemAXjUz
2,86917E+17	US	03/01/13	~ i am falling apart,with a broken heart,barely breathing.
2,86927E+17	US	03/01/13	@CP_UDASHIT oh my god, we go way back #lovethis #rahrahrah
2,86927E+17	US	03/01/13	The way you treat me. The way you accept me, and love me. How much you care about me. That is what makes you perfect.
2,86941E+17	US	03/01/13	I just wanna get pulled on the sled by the four wheeler again!!!!!! #goodshit
2,8695E+17	IE	03/01/13	Oh there's that fake door slam noise , ugh #CBB
2,86959E+17	US	03/01/13	@Taybaybay_19 cool... Wanna see when u get it!
2,87014E+17	US	04/01/13	@del_webb13 hahaa I never get told to be a post... 😕 But I'll most likely guard yaaaa!
2,87044E+17	BR	04/01/13	vou começar pela melhor metade (8)
2,87057E+17	US	04/01/13	@Opucar91 @tim_allen111 I'm in Tennessee.. Only bears and mountain lions round these parts
2,87083E+17	US	04/01/13	Can't do right without doing wrong first
2,87086E+17	MX	04/01/13	Tweet 4484 Dedicado a @ZayraIzquierdo_ :*
2,87273E+17	US	04/01/13	@FlaccidDaddy and goodluck on that young occupation
2,87305E+17	GB	04/01/13	@kiapegg ahh okay how old ate you I am 13
2,87312E+17	MX	04/01/13	"\@erikitalaran: @supermery1969 @pagemasteragain @sococampos Jajajaja bolitaaaaaa!!!!\"" siiii!!!"""
2,87389E+17	ID	05/01/13	"Mampir ke bandung sini ajak si cantik \@revavirginari: Hay mommy. Rindu deh kecup dongs dongs RT @Da_SickGirl: Aseeek!"""
2,87459E+17	MX	05/01/13	@Paty_VanGogh rangoo???? Regalame el reloj mejor xDDDDDDDDDD
2,87511E+17	ID	05/01/13	"yo otw ki \@Vhitri_a: Rpp kw kan cah selo \""@tebeeng: lg jrug tkan ngomah iki \""@Vhitri_a: Kw wae le rene pie \""@tebeeng: hoo \""@Vhitri_a: Kad"""
2,87552E+17	CA	05/01/13	Rain bitches but get my dick on with  at least 3 chicks at York, these hoes are easy game don't change baby haha
2,87582E+17	US	05/01/13	#SexSurvey 74: If you were a stripper, what would your name be? (Trixie or Tricktina as a girl - as a boy my name)
2,8761E+17	US	05/01/13	RT“@iLeexi: I feel shittttttty, I can't even get off my bed. No srsly I feel rlly sick and shitty”
2,8765E+17	TR	05/01/13	Müdürlüğümüzün 2013 yılında hayata geçireceği projeler üzerinde ki çalışmalar sona yaklaşıldı.
2,87751E+17	US	06/01/13	I'm Just Gone Continue Doing What I Want To.
2,87775E+17	US	06/01/13	"\@adampoulos1: @TyreceSpeaight_ even me!!!\"" Are you at the party"""
2,87908E+17	RU	06/01/13	И повторится все как в старь... (@ Обуховский Завод) [pic]: http://t.co/6iFuTdDp
2,87922E+17	RU	06/01/13	Поехала на каток
2,88004E+17	BR	06/01/13	@_jooa amanha eu treino
2,88022E+17	US	06/01/13	YESSSSSSSSSS http://t.co/1qERLagy
2,88025E+17	HU	06/01/13	I'm at Vegyes Élelmiszer (Budapest) http://t.co/Jjhatjt0
2,88057E+17	US	06/01/13	Drinking a Mama's Little Yella Pils by @oskarblues @ Thunderdome — http://t.co/VEw7n9xn
2,88088E+17	US	07/01/13	8:00 PM @ Harrah's Las Vegas $80 NL Hold'em Poker Tournament w/ $20 Bounties @HarrahsVegas http://t.co/f1mxW5ZT
2,88102E+17	US	07/01/13	@flakachichona : You Can HAVE Them Lololololololol (x
2,88105E+17	US	07/01/13	@FEuskadi Haha no way!!!!
2,88152E+17	BR	07/01/13	@lalafernandees hauahsususuusu eita povo brasileiro bacana ahsuauauahah
2,88196E+17	MY	07/01/13	Fifi gatal! Takk abes2 nk double meaning. Iyewwww.
2,88412E+17	US	07/01/13	And my grades are top notch 🎀
2,88414E+17	MX	07/01/13	Mejor no le digo nada, si lo hago voy a parecer su mamá e igual no me hara casó.
2,88416E+17	CA	07/01/13	@KishwerM priceless!! god bless!!!
2,88473E+17	US	08/01/13	Yeah fuck saqouit fans i aint scared
2,88518E+17	ID	08/01/13	9
2,88535E+17	US	08/01/13	@Abood_566 الله يلعنك انت و افلامك يا عبيد ☺ اي والله قران و مافي نوم ☺
2,88592E+17	ID	08/01/13	8 menit lagii..mari menutup CCOS...yupppiii..*peluktas
2,88684E+17	BR	08/01/13	@victorcarbono_ nossa muito duas garrafas de vodka pura uma agnt teve que da pro policial a outra ja tava vazia hauhauahua
2,88724E+17	FR	08/01/13	@Ptaky Mdrr t'es sur ? Demandons a @AhmedElManifico stp haha
2,88788E+17	NL	08/01/13	@fabianaax wie ben jij?
2,88794E+17	MX	08/01/13	El nuevo comercial de suerox es una mamada. jajajaja
2,88799E+17	US	09/01/13	@geegrapes It's all about being real and true to yourself. The opposite of real is fake.
2,88814E+17	ES	09/01/13	BN!! Mñn toca dia agetreao pufff!!
2,88981E+17	BR	09/01/13	@ddtugavato kkkkkkkkkkkk q isso o.O
2,89043E+17	CL	09/01/13	RT @KaroliyaAmeOub @CataDeLina se los pegare en tu nombre en cualquier momento xD// Me parece perfectooooo xD jajajaj
2,89129E+17	MY	09/01/13	Whistle baby
2,89138E+17	US	09/01/13	1999 Joos DLP-115 Through-Feed Hot Veneer Press Please feel free to make an offer! All offers will be considered... http://t.co/fMFp7hDB
2,89147E+17	BR	09/01/13	@robsdlp nao vida, to pelo  ela..
2,89156E+17	BR	09/01/13	Isso mesmo kkkkkk
2,89206E+17	MX	10/01/13	Muy descontrolado sale Rolando Valdez #YaquisVsAlgodoneros
